TRAFFIC_ITEM_ID,ORIGINAL_TRAFFIC_ITEM_ID,TRAFFIC_ITEM_STATUS_SHORT_DESC,TRAFFIC_ITEM_TYPE_DESC,START_TIME,END_TIME,ENTRY_TIME,VERIFIED,CRITICAL_VALS,INCIDENT_TYPE,LATITUDE_START,LONGITUDE_START,LATITUDE_END,LONGITUDE_END,ROAD_CLOSED,TRAFFIC_DESC
3798248000588304094,3124104410382626491,ACTIVE,MISCELLANEOUS,"August 29, 2020 8:37:43 AM CDT","September 16, 2020 1:29:30 AM CDT","September 15, 2020 11:29:46 PM CDT",True,minor,NA,30.21861,-93.32553,30.18356,-93.37612,False,Lane blocked
3315771682021071064,3331121809586964207,ACTIVE,CONSTRUCTION,"September 15, 2020 11:32:46 PM CDT","September 16, 2020 4:30:18 AM CDT","September 15, 2020 11:32:46 PM CDT",True,critical,construction,29.71297,-94.98707,29.70945,-94.98721,True,Closed due to road construction
190895852957661665,3524764879614559312,ACTIVE,ROAD_CLOSURE,"August 28, 2020 3:47:21 PM CDT","September 16, 2020 4:29:30 AM CDT","September 15, 2020 11:29:46 PM CDT",True,critical,NA,30.65546,-93.41246,30.76707,-93.53879,True,Closed
1626981916481122199,4536445529692008147,ACTIVE,CONSTRUCTION,"September 15, 2020 11:32:46 PM CDT","September 16, 2020 4:30:18 AM CDT","September 15, 2020 11:32:46 PM CDT",True,critical,construction,29.72968,-94.87518,29.72939,-94.87836,True,Closed due to road construction:Fisher RdFisher Rd
624897733074670334,4438033625884470632,ACTIVE,MISCELLANEOUS,"August 28, 2020 1:03:42 PM CDT","September 16, 2020 1:29:30 AM CDT","September 15, 2020 11:29:46 PM CDT",True,minor,NA,30.17617,-93.21858,30.16879,-93.23229,False,Lane blocked
2326899065256503921,2497239122684305172,ACTIVE,CONSTRUCTION,"September 15, 2020 11:32:46 PM CDT","September 16, 2020 4:30:18 AM CDT","September 15, 2020 11:32:46 PM CDT",True,critical,construction,29.710153,-94.98475,29.709869,-94.984016,True,Closed due to road construction
4264682330944899159,4561901743326231575,ACTIVE,CONSTRUCTION,"September 15, 2020 11:32:46 PM CDT","September 16, 2020 4:30:18 AM CDT","September 15, 2020 11:32:46 PM CDT",True,critical,construction,29.70945,-94.98721,29.71297,-94.98707,True,Closed due to road construction
116618998619432444,1632780276051500162,ACTIVE,CONSTRUCTION,"September 15, 2020 11:32:46 PM CDT","September 16, 2020 4:30:18 AM CDT","September 15, 2020 11:32:46 PM CDT",True,critical,construction,29.744782,-94.995535,29.743109,-94.992483,True,Closed due to road construction
4195768370198094072,2189383339874261569,ACTIVE,ROAD_CLOSURE,"September 15, 2020 11:32:46 PM CDT","September 16, 2020 4:30:18 AM CDT","September 15, 2020 11:32:46 PM CDT",True,critical,NA,29.80221,-94.99539,29.80301,-94.99184,False,On-ramp closed
3703506916596357449,4490577455735630634,ACTIVE,CONSTRUCTION,"September 15, 2020 11:32:46 PM CDT","September 16, 2020 4:30:18 AM CDT","September 15, 2020 11:32:46 PM CDT",True,critical,construction,29.709869,-94.984016,29.710153,-94.98475,True,Closed due to road construction
