,User,Text,Date,Favorites,Retweets,Mentions,HashTags,docs,streets,highways,exits,markers
125,NBC6News,ROAD CLOSURE: The lane will be closed near Hamilton Road for a period of seven to ten days while bore work for a new 42-inch water transmission line is completed. ,2020-09-03 20:34:00+00:00,0,1,,,road closure: the lane will be closed near hamilton road for a period of seven to ten days while bore work for a new 42-inch water transmission line is completed. ,['hamilton road'],[],[],[]
145,LeagueCityTX,"REMINDER: All #LeagueCity facilities (including Hometown Heroes &amp; library) will be closed on Labor Day. There will be NO trash collection service on Monday, September 7. The Walker Street pool will be open daily from 1-6 p.m. Saturday through Monday ",2020-09-03 20:06:46+00:00,0,3,,#LeagueCity,"reminder: all #leaguecity facilities (including hometown heroes &amp; library) will be closed on labor day. there will be no trash collection service on monday, september 7. the walker street pool will be open daily from 1-6 p.m. saturday through monday ",['walker street'],[],[],[]
154,lalogarri,Sometimes being in bed with your eyes closed is the easiest way to deal with this,2020-09-03 19:49:28+00:00,0,0,,,sometimes being in bed with your eyes closed is the easiest way to deal with this,['easiest way'],[],[],[]
159,BTU_BryanTX,"This is another reminder that BTU will be closed on Labor Day and will re-open on Tuesday, September 8. However, our kiosks will be available at both Bryan HEB locations or at our 24-hour kiosk next to our drive-through lanes at 205 E. 28th Street in Bryan. ",2020-09-03 19:45:05+00:00,0,0,,,"this is another reminder that btu will be closed on labor day and will re-open on tuesday, september 8. however, our kiosks will be available at both bryan heb locations or at our 24-hour kiosk next to our drive-through lanes at 205 e. 28th street in bryan. ",['28th street'],[],[],[]
200,olohr_stamant,"44450 hwy 429. Reminder the cafe' will be closed Monday, for Labor Day. https://www.instagram.com/p/CEr035pn0ez/?igshid=1hgm7iisdwjno",2020-09-03 18:40:30+00:00,0,0,,,"44450 hwy 429. reminder the cafe' will be closed monday, for labor day. https://www.instagram.com/p/cer035pn0ez/?igshid=1hgm7iisdwjno",[],['hwy 429'],[],[]
278,vote4lakeisha,"I’M WITH LAKEISHA I am grateful to have the endorsement of , Daryl Womack, Owner of Case Closed Barbershop! VOTE LAKEISHA JEFFERSON, #84 JUDGE CIVIL DISTRICT COURT DIVISION K - ORLEANS ELECTION DAY IS NOV. 3RD #NewOrleansFamiliesDeserveJustice #vote4lakeisha #NOLA",2020-09-03 18:04:26+00:00,1,1,,#NewOrleansFamiliesDeserveJustice #vote4lakeisha #NOLA,"i’m with lakeisha i am grateful to have the endorsement of , daryl womack, owner of case closed barbershop! vote lakeisha jefferson, #84 judge civil district court division k - orleans election day is nov. 3rd #neworleansfamiliesdeservejustice #vote4lakeisha #nola",['district court'],[],[],[]
279,IceTreyy,I’ve heard that desert vegan place is good you closed minded troglodyte,2020-09-03 18:03:44+00:00,1,1,,,i’ve heard that desert vegan place is good you closed minded troglodyte,['vegan place'],[],[],[]
283,TotalTrafficHOU,"Road construction, right lane closed in #EastSide on E Sam Houston Tollway SB approaching Pasadena Blvd/Red Bluff Rd #traffic http://bit.ly/17hsIjn",2020-09-03 18:00:43+00:00,0,0,,#EastSide #traffic,"road construction, right lane closed in #eastside on e sam houston tollway sb approaching pasadena blvd/red bluff rd #traffic http://bit.ly/17hsijn","['right lane', 'pasadena blvd', 'bluff rd']",[],[],[]
387,FliegenArt,"Tap In @FliegenArt . FliegenArt Tattoo Studio 11663 Jones Rd., Ste F Houston, Tx 77070 832.262.9673 . Open 6 days a week, CLOSED ON SUNDAYS . #FliengenArtTattooStudio #Tattoos #Piercings #TattooArtist #Houston #Texas #California #LasVegas #Tatts #HTX #Htown #Ink",2020-09-03 15:55:01+00:00,0,0,@FliegenArt,#FliengenArtTattooStudio #Tattoos #Piercings #TattooArtist #Houston #Texas #California #LasVegas #Tatts #HTX #Htown #Ink,"tap in @fliegenart . fliegenart tattoo studio 11663 jones rd., ste f houston, tx 77070 832.262.9673 . open 6 days a week, closed on sundays . #fliengenarttattoostudio #tattoos #piercings #tattooartist #houston #texas #california #lasvegas #tatts #htx #htown #ink",['jones rd'],[],[],[]
423,TotalTrafficHOU,"Road construction, right lane closed in #EastSide on S Sam Houston Tollway EB between Fairmont Pkwy and Genoa Red Bluff #traffic http://bit.ly/17hsIjn",2020-09-03 14:55:43+00:00,0,1,,#EastSide #traffic,"road construction, right lane closed in #eastside on s sam houston tollway eb between fairmont pkwy and genoa red bluff #traffic http://bit.ly/17hsijn","['right lane', 'fairmont pkwy']",[],[],[]
424,OhMyGogi,"Thursday Spots: 1. Rice Village 8p-12a 2400 University Blvd, 77005 2. Katy Hmart Foodcourt 11a-8p 23119 Colonial Pkwy, 77449 3. ShareTea Pearland 5p-8p 10904 Memorial Hermann Dr, 77584 4. Downtown Gogi “Closed” 5. Heights Gogi “Closed” 6. University of Houston Gogi “Closed” ",2020-09-03 14:54:40+00:00,1,7,,,"thursday spots: 1. rice village 8p-12a 2400 university blvd, 77005 2. katy hmart foodcourt 11a-8p 23119 colonial pkwy, 77449 3. sharetea pearland 5p-8p 10904 memorial hermann dr, 77584 4. downtown gogi “closed” 5. heights gogi “closed” 6. university of houston gogi “closed” ","['university blvd', 'colonial pkwy']",[],[],[]
452,BenEisner,At the very least it was a stupid idea and is insulting to the businesses who have closed and people who have died. The same way trump is insulting. It might not be as bad but it is insulting none the less. Then to argue she is the one who needs to apologize is very trumpian.,2020-09-03 14:24:33+00:00,0,0,,,at the very least it was a stupid idea and is insulting to the businesses who have closed and people who have died. the same way trump is insulting. it might not be as bad but it is insulting none the less. then to argue she is the one who needs to apologize is very trumpian.,['same way'],[],[],[]
474,oilgasTicker,Downtown roads closed while crews respond to natural gas leak on Chalmers Street - WCBD News 2 http://dlvr.it/RfvYhy #NatGas #NaturalGas #OilandGas,2020-09-03 13:44:01+00:00,0,0,,#NatGas #NaturalGas #OilandGas,downtown roads closed while crews respond to natural gas leak on chalmers street - wcbd news 2 http://dlvr.it/rfvyhy #natgas #naturalgas #oilandgas,['chalmers street'],[],[],[]
493,LongviewFire,1000 block of Sabine St is closed due to flooding,2020-09-03 13:33:49+00:00,3,1,,,1000 block of sabine st is closed due to flooding,['sabine st'],[],[],[]
494,LongviewPolice,1000 block of Sabine St is closed due to flooding,2020-09-03 13:33:34+00:00,1,4,,,1000 block of sabine st is closed due to flooding,['sabine st'],[],[],[]
497,TxDOTWacoPIO, I-35 northbound frontage road closed at US 84/Waco Dr. due to weather and high water. Drivers are being directed to the northbound mainlanes. Drive safe and use caution when traveling through the work zones.,2020-09-03 13:26:23+00:00,4,4,,, i-35 northbound frontage road closed at us 84/waco dr. due to weather and high water. drivers are being directed to the northbound mainlanes. drive safe and use caution when traveling through the work zones.,['frontage road'],"['i-35', 'us 84']",[],[]
498,CityofLongview,Crews were on site this morning at West Marshall Avenue and Ward Drive. Flooding from the morning rains caused the road to be closed and traffic to be diverted. #TurnAroundDontDrown,2020-09-03 13:22:14+00:00,2,2,,#TurnAroundDontDrown,crews were on site this morning at west marshall avenue and ward drive. flooding from the morning rains caused the road to be closed and traffic to be diverted. #turnarounddontdrown,"['marshall avenue', 'ward drive']",[],[],[]
518,TotalTrafficHOU,"Closed due to accident in #Pearland on Hwy 288 NB between Cnty Rd 59 and FM 518, stopped traffic back to CR 101/Bailey Rd. #traffic http://bit.ly/17hsIjn",2020-09-03 13:00:44+00:00,0,0,,#Pearland #traffic,"closed due to accident in #pearland on hwy 288 nb between cnty rd 59 and fm 518, stopped traffic back to cr 101/bailey rd. #traffic http://bit.ly/17hsijn",['bailey rd'],['hwy 288'],[],[]
519,I35WacoTravel,Waco | I-35 southbound Frontage Road at S 9th Street | ALL LANES closed tonight 7PM to 6AM https://www.waco4bmap.org/?id=13809#closures #My35,2020-09-03 13:00:42+00:00,0,0,,#My35,waco | i-35 southbound frontage road at s 9th street | all lanes closed tonight 7pm to 6am https://www.waco4bmap.org/?id=13809#closures #my35,"['frontage road', '9th street']",['i-35'],[],[]
520,I35WacoTravel,Waco | I-35 northbound Frontage Road at US 77 | ALL LANES closed tonight 7PM to 6AM https://www.waco4bmap.org/?id=13805#closures #My35,2020-09-03 13:00:41+00:00,0,0,,#My35,waco | i-35 northbound frontage road at us 77 | all lanes closed tonight 7pm to 6am https://www.waco4bmap.org/?id=13805#closures #my35,['frontage road'],"['i-35', 'us 77']",[],[]
521,I35WacoTravel,North of Hillsboro | I-35 E northbound at 35W/35E Split | Various lanes closed tonight 7PM to 6AM https://www.i35wacodistrict.org/?id=13804#closures #My35,2020-09-03 13:00:40+00:00,0,0,,#My35,north of hillsboro | i-35 e northbound at 35w/35e split | various lanes closed tonight 7pm to 6am https://www.i35wacodistrict.org/?id=13804#closures #my35,[],['i-35'],[],[]
522,I35WacoTravel,Waxahachie | I-35 E southbound at US-287 | Various lanes closed tonight 9PM to 6AM https://www.i35wacodistrict.org/?id=13796#closures #My35,2020-09-03 13:00:39+00:00,0,0,,#My35,waxahachie | i-35 e southbound at us-287 | various lanes closed tonight 9pm to 6am https://www.i35wacodistrict.org/?id=13796#closures #my35,[],"['i-35', 'us-287']",[],[]
523,I35WacoTravel,Waco | US 77 northbound Exit Ramp at I-35 | Exit Ramp closed tonight 7PM to 6AM https://www.i35wacodistrict.org/?id=13795#closures #My35,2020-09-03 13:00:38+00:00,0,0,,#My35,waco | us 77 northbound exit ramp at i-35 | exit ramp closed tonight 7pm to 6am https://www.i35wacodistrict.org/?id=13795#closures #my35,[],"['us 77', 'i-35']",[],[]
524,I35WacoTravel,Waco | I-35 northbound at 4th St | ALL LANES closed tonight 7PM to 6AM https://www.waco4bmap.org/?id=13786#closures #My35,2020-09-03 13:00:36+00:00,0,0,,#My35,waco | i-35 northbound at 4th st | all lanes closed tonight 7pm to 6am https://www.waco4bmap.org/?id=13786#closures #my35,['4th st'],['i-35'],[],[]
535,BlueRidgeISD,HWY 78 is closed down north of The Trails of Blue Ridge due to a bad wreck. Please use a different route if possible. Morning bus routes may be delayed picking up students due to the road closure.,2020-09-03 12:34:37+00:00,0,1,,,hwy 78 is closed down north of the trails of blue ridge due to a bad wreck. please use a different route if possible. morning bus routes may be delayed picking up students due to the road closure.,[],['hwy 78'],[],[]
542,newsjournal,"Part of West Marshall Avenue is closed due to flooding, and Longview Fire Department crews responded to other locations in the city due to water over the roadway. ",2020-09-03 12:15:04+00:00,1,0,,,"part of west marshall avenue is closed due to flooding, and longview fire department crews responded to other locations in the city due to water over the roadway. ",['marshall avenue'],[],[],[]
552,LongviewFire,W Marshall Av and Ward St is closed (East and West bound) due to flooding.,2020-09-03 12:00:30+00:00,3,2,,,w marshall av and ward st is closed (east and west bound) due to flooding.,['ward st'],[],[],[]
553,LongviewPolice,W Marshall Av and Ward St is closed (East and West bound) due to flooding.,2020-09-03 12:00:15+00:00,2,1,,,w marshall av and ward st is closed (east and west bound) due to flooding.,['ward st'],[],[],[]
595,NOLA_Traffic,The left lane remains closed on I-10 East at Loyola Drive due to emergency roadwork. Congestion is minimal.,2020-09-03 06:44:52+00:00,0,0,,,the left lane remains closed on i-10 east at loyola drive due to emergency roadwork. congestion is minimal.,"['left lane', 'loyola drive']",['i-10'],[],[]
603,rockhoward,More like voter oppression. Bullying Green Party candidates off the ballot by telling lies in open court; not apologizing when the VP candidate shames voters who prefer to vote their honest beliefs; and colluding with the Republicans to keep the debates closed. Disgraceful.,2020-09-03 06:20:05+00:00,0,0,,,more like voter oppression. bullying green party candidates off the ballot by telling lies in open court; not apologizing when the vp candidate shames voters who prefer to vote their honest beliefs; and colluding with the republicans to keep the debates closed. disgraceful.,['open court'],[],[],[]
701,wbreaux,"If you can exit , turn around. I-10 is closed at highland. Good luck",2020-09-03 02:40:47+00:00,0,0,,,"if you can exit , turn around. i-10 is closed at highland. good luck",[],['i-10'],[],[]
708,danawbrz,I-10 remains closed at Bluff Rd. just before Highland Rd. Congestion is about 3.5 miles in length ,2020-09-03 02:33:03+00:00,1,1,,,i-10 remains closed at bluff rd. just before highland rd. congestion is about 3.5 miles in length ,"['bluff rd', 'highland rd']",['i-10'],[],[]
713,blariz,"Wow, FB court of public opinion, before the actual investigation is even completed. Although I should not be surprised since GoFundMe closed that account almost as soon as it was created.",2020-09-03 02:24:25+00:00,0,3,,,"wow, fb court of public opinion, before the actual investigation is even completed. although i should not be surprised since gofundme closed that account almost as soon as it was created.",['fb court'],[],[],[]
716,NOLA_Traffic,The left lane remain closed on I-10 East at Loyola Drive due to emergency roadwork. Congestion is minimal.,2020-09-03 02:21:33+00:00,0,1,,,the left lane remain closed on i-10 east at loyola drive due to emergency roadwork. congestion is minimal.,"['left lane', 'loyola drive']",['i-10'],[],[]
721,sandra_j_hughes,I’m no Pelosi fan but who allowed the appointment to be made in the first place? Who opened the door to the closed business? Was the hairdresser in subordinate of the owners orders? Was the owner allowing people in anyway other than Pelosi? @SpeakerPelosi @RDoctorD1 @RedPill78 @,2020-09-03 02:14:53+00:00,0,0,@SpeakerPelosi @RDoctorD1 @RedPill78,,i’m no pelosi fan but who allowed the appointment to be made in the first place? who opened the door to the closed business? was the hairdresser in subordinate of the owners orders? was the owner allowing people in anyway other than pelosi? @speakerpelosi @rdoctord1 @redpill78 @,['first place'],[],[],[]
727,BTRtraffic,RT BR_Traffic Correction: I-10 East is closed at the I-10/I-110 due to an accident. Congestion has reached LA 415 (Lobdell). Motorists are advised to use an alternate route.,2020-09-03 02:01:30+00:00,0,0,,,rt br_traffic correction: i-10 east is closed at the i-10/i-110 due to an accident. congestion has reached la 415 (lobdell). motorists are advised to use an alternate route.,[],"['i-10', 'i-10', 'i-110', 'la 415']",[],[]
728,BR_Traffic,Correction: I-10 East is closed at the I-10/I-110 due to an accident. Congestion has reached LA 415 (Lobdell). Motorists are advised to use an alternate route.,2020-09-03 02:00:26+00:00,1,1,,,correction: i-10 east is closed at the i-10/i-110 due to an accident. congestion has reached la 415 (lobdell). motorists are advised to use an alternate route.,[],"['i-10', 'i-10', 'i-110', 'la 415']",[],[]
734,danawbrz,I-10 is temporarily CLOSED in two separate areas tonight due to accidents - I-10 East at the 10/110 - I-10 West at Highland Rd. Motorists are advised to use alternate routes ,2020-09-03 01:51:45+00:00,3,3,,,i-10 is temporarily closed in two separate areas tonight due to accidents - i-10 east at the 10/110 - i-10 west at highland rd. motorists are advised to use alternate routes ,['highland rd'],"['i-10', 'i-10', 'i-10']",[],[]
736,TotalTrafficHOU,"Vehicle fire. all mainlanes closed in #NwSide on US-290 Inbound between Barker Cypress and Telge, stopped traffic back to Spg Cypress #traffic http://bit.ly/17hsIjn",2020-09-03 01:50:43+00:00,0,0,,#NwSide #traffic,"vehicle fire. all mainlanes closed in #nwside on us-290 inbound between barker cypress and telge, stopped traffic back to spg cypress #traffic http://bit.ly/17hsijn",[],['us-290'],[],[]
738,danawbrz,TRAFFIC ALERT: Another accident has I-10 (West) completely closed at Highland Rd. ,2020-09-03 01:49:26+00:00,2,0,,,traffic alert: another accident has i-10 (west) completely closed at highland rd. ,['highland rd'],['i-10'],[],[]
740,danawbrz,TRAFFIC ALERT: Accident on I-10 East has completely closed the interstate just past the 10/110 Congestion has reached LA 1 ,2020-09-03 01:46:34+00:00,1,0,,,traffic alert: accident on i-10 east has completely closed the interstate just past the 10/110 congestion has reached la 1 ,[],"['i-10', 'la 1']",[],[]
743,BTRtraffic,RT BR_Traffic I-10 East past I-10/110 is now closed due to an accident. Congestion is approaching LA 1.,2020-09-03 01:37:54+00:00,0,0,,,rt br_traffic i-10 east past i-10/110 is now closed due to an accident. congestion is approaching la 1.,[],"['i-10', 'i-10/110', 'la 1']",[],[]
745,BR_Traffic,I-10 East past I-10/110 is now closed due to an accident. Congestion is approaching LA 1.,2020-09-03 01:34:59+00:00,1,1,,,i-10 east past i-10/110 is now closed due to an accident. congestion is approaching la 1.,[],"['i-10', 'i-10/110', 'la 1']",[],[]
784,NOLA_Traffic,The left lane is closed on I-10 East at Loyola Drive due to emergency roadwork. Congestion is minimal.,2020-09-03 00:12:28+00:00,0,0,,,the left lane is closed on i-10 east at loyola drive due to emergency roadwork. congestion is minimal.,"['left lane', 'loyola drive']",['i-10'],[],[]
794,TotalTrafficHOU,"Vehicle fire. all mainlanes closed in #NwSide on US-290 Inbound between Barker Cypress and Telge, stopped traffic back to #traffic http://bit.ly/17hsIjn",2020-09-02 23:50:43+00:00,0,0,,#NwSide #traffic,"vehicle fire. all mainlanes closed in #nwside on us-290 inbound between barker cypress and telge, stopped traffic back to #traffic http://bit.ly/17hsijn",[],['us-290'],[],[]
803,TotalTrafficHOU,"Vehicle fire. all mainlanes closed in #NwSide on Hwy 290 NW Fwy Inbound at Telge, stopped traffic back to Barker Cypress #traffic http://bit.ly/17hsIjn",2020-09-02 23:35:43+00:00,0,0,,#NwSide #traffic,"vehicle fire. all mainlanes closed in #nwside on hwy 290 nw fwy inbound at telge, stopped traffic back to barker cypress #traffic http://bit.ly/17hsijn",[],['hwy 290'],[],[]
807,OKDOT,"EDMOND: The northbound I-35 off-ramp to Waterloo Rd. (mm 146) will be closed from 7 p.m. Wednesday to 6 a.m. Thursday and continuing nightly through Friday, Sept. 4, for surface repair. #trucking",2020-09-02 23:30:16+00:00,0,1,,#trucking,"edmond: the northbound i-35 off-ramp to waterloo rd. (mm 146) will be closed from 7 p.m. wednesday to 6 a.m. thursday and continuing nightly through friday, sept. 4, for surface repair. #trucking",['waterloo rd'],['i-35'],[],[]
820,183South,"WED (9/2) 8 p.m. to 6 a.m., US 183 southbound left mainlane closed Harold Ct. to Smith Rd.#atxtraffic",2020-09-02 23:00:48+00:00,0,1,,#atxtraffic,"wed (9/2) 8 p.m. to 6 a.m., us 183 southbound left mainlane closed harold ct. to smith rd.#atxtraffic",[],['us 183'],[],[]
858,JustKorppi,"All clean, much to her chagrin... And I think I discovered where she got so filthy in the first place. Yes, that’s the fire place. It was both closed AND blocked off... #lifewithcats https://www.instagram.com/p/CEpmONqlESV/?igshid=1ruszf9o8ortl",2020-09-02 21:53:56+00:00,0,1,,#lifewithcats,"all clean, much to her chagrin... and i think i discovered where she got so filthy in the first place. yes, that’s the fire place. it was both closed and blocked off... #lifewithcats https://www.instagram.com/p/cepmonqlesv/?igshid=1ruszf9o8ortl","['first place', 'fire place']",[],[],[]
900,TxDOTBeaumont,"BEAUMONT: I10 eastbound, Major Drive-Brooks Rd, will be down to one lane of traffic and the frontage road will be closed tonight, 9pm-5am, due to work on the frontage road.",2020-09-02 20:58:45+00:00,0,6,,,"beaumont: i10 eastbound, major drive-brooks rd, will be down to one lane of traffic and the frontage road will be closed tonight, 9pm-5am, due to work on the frontage road.","['major drive', 'brooks rd', 'frontage road', 'frontage road']",[],[],[]
901,mphelps96,"actual phone call I had today— me: “sorry I’m just getting back with you... our area received significant damage from the recent hurricane & our office has been closed” them: “that’s unfortunate. anyways, I needed this done like yesterday” &amp; I- ",2020-09-02 20:53:27+00:00,0,9,,,"actual phone call i had today— me: “sorry i’m just getting back with you... our area received significant damage from the recent hurricane & our office has been closed” them: “that’s unfortunate. anyways, i needed this done like yesterday” &amp; i- ",[],['i-'],[],[]
954,Stripper_Cop,"Today I’m grumpy because I want to put more holes in my body to feel like I have control over ~something~, but my fave local place is closed and my piercer friends are across the country &gt;:((",2020-09-02 19:51:03+00:00,0,4,,,"today i’m grumpy because i want to put more holes in my body to feel like i have control over ~something~, but my fave local place is closed and my piercer friends are across the country &gt;:((",['local place'],[],[],[]
969,DiDi2009,"It’s the only way. I’m watching this stuff real time, and have tried to explain. Why are you so closed-minded? Just think we should let it rip and have all colleges be COVID infested? The idea should be to manage the virus we live with.",2020-09-02 19:27:11+00:00,0,1,,,"it’s the only way. i’m watching this stuff real time, and have tried to explain. why are you so closed-minded? just think we should let it rip and have all colleges be covid infested? the idea should be to manage the virus we live with.",['only way'],[],[],[]
983,TripsyMcFalls,"It means the price changed in a somewhat significant way when there was no trading happening. Like while the markets are closed. But in this case, the price has almost recovered to the high point it was earlier today. So.... take that advice with a grain of salt.",2020-09-02 19:02:16+00:00,0,0,,,"it means the price changed in a somewhat significant way when there was no trading happening. like while the markets are closed. but in this case, the price has almost recovered to the high point it was earlier today. so.... take that advice with a grain of salt.",['significant way'],[],[],[]
996,AbusiveMilk,Black Mirror episode but it's just you scrolling through Uber Eats and it's the same 3 shitty restaurants over and over with slower and slower delivery times and the really good place you want food from is closed,2020-09-02 18:46:23+00:00,1,4,,,black mirror episode but it's just you scrolling through uber eats and it's the same 3 shitty restaurants over and over with slower and slower delivery times and the really good place you want food from is closed,['good place'],[],[],[]
1016,TotalTrafficAUS,Closed due to accident in #TravisCounty on Farm-To-Market Rd 812 WB between FM 973 and Piland Triangle #ATXtraffic http://bit.ly/10BGKax,2020-09-02 18:10:43+00:00,0,0,,#TravisCounty #ATXtraffic,closed due to accident in #traviscounty on farm-to-market rd 812 wb between fm 973 and piland triangle #atxtraffic http://bit.ly/10bgkax,['market rd'],[],[],[]
1021,TotalTrafficAUS,Closed due to accident in #TravisCounty on Farm-To-Market Rd 812 EB between Piland Triangle and FM 973 #ATXtraffic http://bit.ly/10BGKax,2020-09-02 18:05:43+00:00,0,0,,#TravisCounty #ATXtraffic,closed due to accident in #traviscounty on farm-to-market rd 812 eb between piland triangle and fm 973 #atxtraffic http://bit.ly/10bgkax,['market rd'],[],[],[]
1025,TotalTrafficNO,1pm.. The exit ramp from I-10 West to I-510 South is closed to traffic due to an accident,2020-09-02 18:02:28+00:00,0,0,,,1pm.. the exit ramp from i-10 west to i-510 south is closed to traffic due to an accident,[],"['i-10', 'i-510']",[],[]
1031,edwrather,Pompeo: ‘Hopeful‘ All Confucius Institutes Will Be Closed by Year‘s End https://www.breitbart.com/clips/2020/09/01/pompeo-hopeful-all-confucius-institutes-will-be-closed-by-years-end/ via @BreitbartNews,2020-09-02 17:42:21+00:00,1,3,@BreitbartNews,,pompeo: ‘hopeful‘ all confucius institutes will be closed by year‘s end https://www.breitbart.com/clips/2020/09/01/pompeo-hopeful-all-confucius-institutes-will-be-closed-by-years-end/ via @breitbartnews,[],['https://www.breitbart.com/clips/2020/09/01/pompeo-hopeful-all-confucius-institutes-will-be-closed-by-years-end/'],[],[]
1036,NOLA_Traffic,The exit ramp from I-10 West to I-510 South is closed to traffic due to an accident. Use Alternate Route. Congestion is minimal.,2020-09-02 17:37:52+00:00,0,0,,,the exit ramp from i-10 west to i-510 south is closed to traffic due to an accident. use alternate route. congestion is minimal.,[],"['i-10', 'i-510']",[],[]
1038,shrevememorial,"**BRANCH CLOSURE -- CEDAR GROVE/LINE AVENUE BRANCH** The Cedar Grove/Line Avenue Branch will be closed today for needed maintenance with plans to reopen Thursday, September 3 at noon. We apologize for any inconvenience. Follow us on social media for additional updates. ",2020-09-02 17:36:14+00:00,0,1,,,"**branch closure -- cedar grove/line avenue branch** the cedar grove/line avenue branch will be closed today for needed maintenance with plans to reopen thursday, september 3 at noon. we apologize for any inconvenience. follow us on social media for additional updates. ","['line avenue', 'line avenue']",[],[],[]
1050,georgetowntx,"Most city offices and facilities will be closed for Labor Day on Monday, Sept. 7. Closed/open: Offices and facilities GoGeo Williams Drive Pool Visitors Center Garey Park Solid waste services More info: https://bit.ly/2F1S7bK",2020-09-02 17:14:50+00:00,2,1,,,"most city offices and facilities will be closed for labor day on monday, sept. 7. closed/open: offices and facilities gogeo williams drive pool visitors center garey park solid waste services more info: https://bit.ly/2f1s7bk",['williams drive'],[],[],[]
1068,TotalTrafficNO,11:46am.. I-510 South at I-10 East is closed to traffic due to an accident.,2020-09-02 16:46:27+00:00,0,0,,,11:46am.. i-510 south at i-10 east is closed to traffic due to an accident.,[],"['i-510', 'i-10']",[],[]
1070,NOLA_Traffic,I-510 South at I-10 East is closed to traffic due to an accident. Use Alternate Route. Congestion is minimal.,2020-09-02 16:42:06+00:00,0,0,,,i-510 south at i-10 east is closed to traffic due to an accident. use alternate route. congestion is minimal.,[],"['i-510', 'i-10']",[],[]
1077,westchasehou,"Fairfield Inn at 2400 W Sam Houston Pkwy S officially reopened on Aug. 31 after being closed for 13 months for renovations. Complete makeover of rooms, lobby, fitness center and pool. Call 713-334-2400 for reservations. ",2020-09-02 16:33:42+00:00,0,2,,,"fairfield inn at 2400 w sam houston pkwy s officially reopened on aug. 31 after being closed for 13 months for renovations. complete makeover of rooms, lobby, fitness center and pool. call 713-334-2400 for reservations. ",['houston pkwy'],[],[],[]
1099,TxDOTAustin,Traffic Alert: RM 1431 closed in both directions at Easy St in Jonestown due to crash. Consider alternatives until cleared. #atxtraffic,2020-09-02 15:52:10+00:00,0,3,,#atxtraffic,traffic alert: rm 1431 closed in both directions at easy st in jonestown due to crash. consider alternatives until cleared. #atxtraffic,['easy st'],[],[],[]
1133,TxDOTWacoPIO,"Nickie, thanks for tagging us. We take the safety of travelers seriously and have closed the right lane of the NB I-35 mainlanes from 18th - 4th streets for repairs. If you have any other questions or concerns, please email My35Waco@txdot.gov.",2020-09-02 15:15:28+00:00,0,2,,,"nickie, thanks for tagging us. we take the safety of travelers seriously and have closed the right lane of the nb i-35 mainlanes from 18th - 4th streets for repairs. if you have any other questions or concerns, please email my35waco@txdot.gov.",['right lane'],['i-35'],[],[]
1134,Spsanders1,"Virus spike that closed Stillwater schools prompts state push for precautions, but no mandates https://tulsaworld.com/news/local/virus-spike-that-closed-stillwater-schools-prompts-state-push-for-precautions-but-no-mandates/article_aba7567e-ec72-11ea-8040-47862c2d4d1a.html?utm_medium=social&amp;utm_source=twitter&amp;utm_campaign=user-share via @tulsaworld",2020-09-02 15:15:02+00:00,0,0,@tulsaworld,,"virus spike that closed stillwater schools prompts state push for precautions, but no mandates https://tulsaworld.com/news/local/virus-spike-that-closed-stillwater-schools-prompts-state-push-for-precautions-but-no-mandates/article_aba7567e-ec72-11ea-8040-47862c2d4d1a.html?utm_medium=social&amp;utm_source=twitter&amp;utm_campaign=user-share via @tulsaworld",[],['https://tulsaworld.com/news/local/virus-spike-that-closed-stillwater-schools-prompts-state-push-for-precautions-but-no-mandates/article_aba7567e-ec72-11ea-8040-47862c2d4d1a.html?utm_medium=social&amp;utm_source=twitter&amp;utm_campaign=user-share'],[],[]
1166,TxDOTWacoPIO,Current My35 Waco high water areas: — Outside lane of northbound I-35 mainlanes closed from 17th/18th Streets to 4th/5th Streets due to high water — Northbound I-35 exit for 8th/4th/5th Streets/University Parks Drive (Exit 334B) closed due to high water,2020-09-02 14:25:29+00:00,0,0,,,current my35 waco high water areas: — outside lane of northbound i-35 mainlanes closed from 17th/18th streets to 4th/5th streets due to high water — northbound i-35 exit for 8th/4th/5th streets/university parks drive (exit 334b) closed due to high water,['parks drive'],"['i-35', 'i-35']",[],[]
1168,6NewsCTX,TRAFFIC ALERT: The outside lane of northbound I-35 in Waco is closed from 17th/18th Streets to 4th/5th Streets due to flooding. Be careful out there. https://www.kcentv.com/traffic,2020-09-02 14:23:55+00:00,0,0,,,traffic alert: the outside lane of northbound i-35 in waco is closed from 17th/18th streets to 4th/5th streets due to flooding. be careful out there. https://www.kcentv.com/traffic,['outside lane'],['i-35'],[],[]
1191,OKDOT,LOGAN CO: The NB I-35 off-ramp to the rest area/truck parking stop at mm 149 between Waterloo Rd. and Seward Rd. will be closed from 7a to 5p Wed. for surface repairs. #trucking,2020-09-02 14:00:25+00:00,0,0,,#trucking,logan co: the nb i-35 off-ramp to the rest area/truck parking stop at mm 149 between waterloo rd. and seward rd. will be closed from 7a to 5p wed. for surface repairs. #trucking,"['waterloo rd', 'seward rd']",['i-35'],[],[]
1219,BRProudNews,TRAFFIC ALERT: Section of HWY 22 closed due to fatal pedestrian accident. ,2020-09-02 13:14:04+00:00,0,1,,,traffic alert: section of hwy 22 closed due to fatal pedestrian accident. ,[],['hwy 22'],[],[]
