User,Text,Date,Favorites,Retweets,Mentions,HashTags
LenovoLegion,"Lenovo Legion x @PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",2020-09-03 18:26:48+00:00,9,106,@PlayApex,
LenovoLegion,"Lenovo Legion x @PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",2020-09-03 18:26:48+00:00,9,106,@PlayApex,
LenovoLegion,"Lenovo Legion x @PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",2020-09-03 18:26:48+00:00,9,106,@PlayApex,
LenovoLegion,"Lenovo Legion x @PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",2020-09-03 18:26:48+00:00,9,106,@PlayApex,
LenovoLegion,"Lenovo Legion x @PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",2020-09-03 18:26:48+00:00,9,106,@PlayApex,
BUZZNET,"They were once the top NBA players, so find out what happened to them after they retired.",2020-09-03 13:34:47+00:00,0,0,,
HollywoodTyrone,I wonder what college coach was paying players mom bills and keeping groceries in the house during the pandemic when everything was shutdown,2020-08-31 23:41:45+00:00,0,0,,
txmadeparts,#trailertire #rim combo - ST225/75R15 10Ply LRE radial trailer tire mounted on silver mod wheel 5 lug http://Www.trailerpartsunlimited.com 844-898-8687 631 State Hwy 75 North Huntsville TX 77320 . #trailerpartsunlimited… https://www.instagram.com/p/CEkmm-Fp2G2/?igshid=11689wpzt3xr5,2020-08-31 23:21:08+00:00,0,0,,#trailertire #rim #trailerpartsunlimited
TotalTrafficHOU,"Disabled vehicle, left lane blocked in #SouthSide on Hwy 288 NB at Yellowstone #traffic http://bit.ly/17hsIjn",2020-08-31 23:15:44+00:00,0,0,,#SouthSide #traffic
griffinfan56,NBA can shut down for all I care. ,2020-08-31 22:51:33+00:00,0,0,,
TotalTrafficHOU,"Accident. three left lanes blocked in #SouthSide on Hwy 288 NB at Yellowstone, stop and go traffic back to The S Lp #traffic http://bit.ly/17hsIjn",2020-08-31 22:35:43+00:00,0,0,,#SouthSide #traffic
Jim38072850,I am old enough to remember when we were told that the shut down was to keep the hospitals from being overwhelmed.,2020-08-31 22:24:08+00:00,0,1,,
joshmartin98,"I think the main takeaway is what we have known for months. The virus is most dangerous to elderly people who are already sick. The strategy should have been to protect them, not shut down everyone.",2020-08-31 22:14:26+00:00,0,2,,
ayyiden,HOW TF CAN THEY SHUT DOWN WESTHEIMER AND NOT HAVE A DETOUR??,2020-08-31 22:05:56+00:00,0,0,,
ayyiden,HOW TF CAN THEY SHUT DOWN WESTHEIMER AND NOT HAVE A DETOUR??,2020-08-31 22:05:56+00:00,0,0,,
iTzFRANKIEMAYNE,59 N. To I-10 west ramp shut down. @TxDOTHouston,2020-08-31 21:34:34+00:00,0,1,@TxDOTHouston,
Farris_actual,You do realize you said you would shut down the country again. What do you think caused the businesses to close? A lot of officers got Covid dealing with protesters your running mate encouraged to keep it up even after Nov 3rd. Go back to your basement.,2020-08-31 21:17:34+00:00,0,1,,
